isbn,list_referencetype,referenceid,pdf_name,author,title,journal,volume,issue,pages,year,url,booktitle,chapter,editor,publisher,placepublished,author_year
,Book,DL00328_Tucker,,"Tucker, A. D.",Ecology and Demography of Freshwater Crocodiles (Crocodylus Johnstoni) in the Lynd River of North Queensland,,,,1--464,1997,http://dx.doi.org/10.1071/zo06099,,,,University of Queensland,,Tucker_1997c
,Journal Article,DL00329_Dawidowicz,,"Dawidowicz, P.; Predki, P.; Pietrzak, B.",Shortened lifespan: another cost of fish-predator avoidance in cladocerans?,Hydrobiologia,643,1,27--32,2010,http://dx.doi.org/10.1007/s10750-010-0132-z,,,,,,Dawidowicz_2010
,Journal Article,DL00340_Khazaeli,,"Khazaeli, A. A.; Curtsinger, J. W.","Life history variation in an artificially selected population of Drosophila melanogaster: pleiotropy, superflies, and age-specific adaptation",Evolution,64,12,3409--3416,2010,http://dx.doi.org/10.1111/j.1558-5646.2010.01139.x,,,,,,Khazaeli_2010
,Journal Article,DL00341_Schaible,,"Schaible, R.; Scheuerlein, A.; Martinez, D. E.; Vaupel, J. W.",Mortality and fertility in Hydra : evidence for negligible senescence,,,,,2015,http://dx.doi.org/10.1017/9781139939867.012,,,,,,Schaible_2005
,Journal Article,DL00343_Ricklefs,,"Ricklefs, R.E.; Scheuerlein, A.; Cohen, A.",Age-related patterns of fertility in captive populations of birds and mammals,Experimental Gerontology,38,7,741--745,2003,http://dx.doi.org/10.1016/s0531-5565(03)00101-3,,,,,,Ricklefs_2003
,Journal Article,DL00344_Ricci,,"Ricci, C.; Caprioli, M.; Fontaneto, D.",Stress and fitness in parthenogens: is dormancy a key feature for bdelloid rotifers?,BMC evolutionary biology,7,Suppl 2,S9,2007,http://dx.doi.org/10.1186/1471-2148-7-s2-s9,,,,,,Ricci_2007
,Journal Article,DL00345_Evans,,"Evans, F. C.; Smith, F. E.","The intrinsic rate of natural increase for the Human Louse, Pediculus humanus L.",The American Naturalist,86,830,299--310,1952,http://dx.doi.org/10.1086/281737,,,,,,Evans_1952
0049-6650,Journal Article,Franz_1984,,"Franz, A.; Mebs, T.; Seibt, E.",Several aspects of population biology in the Tengmalm's Owl (Aegolius funereus) in southern Westphalia and adjacent areas on the base of ringing results,Vogelwarte,32,4,260--269,1984,http://dx.doi.org/10.5040/9781472597175.ch-023,,,,,,Franz_1984
,Journal Article,Frederiksen_2004,,"Frederiksen, M.; Wanless, S.; Harris, M. P.",Estimating true age-dependence in survival when only adults can be observed: an example with Black-legged Kittiwakes,Animal Biodiversity and Conservation,27,1,541--548,2004,http://dx.doi.org/10.1111/j.0021-8901.2004.00966.x,,,,,,Frederiksen_2004
630561,Journal Article,ABird-Henny-1969,,"Henny, C. J.",Geographical variation in mortality rates and production requirements of the Barn Owl (Tyto alba ssp.),Bird-Banding,40,4,277--290,1969,http://dx.doi.org/10.2307/4511602,,,,,,Henny_1969
,Thesis,Henny_1972b,,"Henny, C. J.",An analysis of the population dynamics of selected avian species,Wildl. Serv. Res. Rep.,1,,,1972,http://dx.doi.org/10.2307/3388,,,,U.S. Gov. Printing Office,"Washington, D.C.",Henny_1972b
,Thesis,Hoefs_1975,,"Hoefs, M.","Ecological investigation of Dall Sheep (Ovis dalli dalli, Nelson) and their habitat on Sheep Mountain, Kluane National Park, Yukon Territory, Canada",,,,1--500,1975,http://dx.doi.org/10.1139/z83-181,,,,,,Hoefs_1975
,Book,Kear_1980,,"Kear, J.; Berger, A. J.",The Hawaiian Goose: an experiment in conservation.,,,,1--154,1980,http://dx.doi.org/10.5040/9781472597052,The Hawaiian Goose: an experiment in conservation.,,,"T. and A. D. Poyser, Ltd.",Carlton,Kear_1980
,Book Section,Koenig_1987,,"Koenig, W. D.; Mumme, R.L.","Survivership of Breeders; Sex, Ratio and Dispersal of Young",,,,166--227,1987,http://dx.doi.org/10.1086/417552,Population ecology of the cooperatively breeding Acorn Woodpecker,8-Jul,,Princeton Univ. Press,"Princeton, NJ",Koenig_1987
,Journal Article,Krueger_2005,,"Krueger, O.",Age at First Breeding and Fitness in Goshawk Accipiter gentilis,Journal of Animal Ecology,74,2,266--273,2005,http://dx.doi.org/10.1111/j.1365-2656.2005.00920.x,,,,,,Krueger_2005
,Thesis,Luckhurst_1973,,"Luckhurst, A. J.",Stone Sheep and their habitat in the northern Rpocky Mountains foothills of British Columbia,,,,1--146,1973,http://dx.doi.org/10.24124/2006/bpgub419,,,,,,Luckhurst_1973
,Journal Article,Murton_1972,,"Murton, R. K.; Thearle, R. J. P.; Thompson, J.","Ecological Studies of the Feral Pigeon Columba livia var. I. Population, Breeding Biology and Methods of Control ",Journal of Applied Ecology,9,3,835--874,1972,http://dx.doi.org/10.2307/2401909,,,,British Ecological Society,,Murton_1972
0027-4100,Journal Article,Paynter_1966,,"Paynter Jr., R. A.",A new attempt to construct life tables for Kent Island herring gulls,Bulletin of The Museum of Comparative Zoology,133,11,489--528,1966,http://dx.doi.org/10.2307/4509986,,,,,,Paynter_1966
0-88706-135-4,Book,Rawlins_Kessler_1986,,"Rawlins, R. G.; Kessler, M. J.","The Cayo Santiago macaques - histotry, behavior and ecology",,,,1--306,1986,http://dx.doi.org/10.1086/415467,,,"Rawlins, R. G.; A Kessler, M. J.",State University of New York,Albany,Rawlins_1986
,Report,Henny_1972,,"Henny, C. J.; Wight, H. M.",Population ecology and environmental pollution: Red-tailed and Cooper's Hawks,,,,229--250,1972,http://dx.doi.org/10.2307/1935339,Population ecology of migratory birds: a symposium,,,U.S. Fish Wildl. Serv.,,Henny_1972a
,Journal Article,Schifferli_1957,,"Schifferli, A.",Alter und Sterblichkeit bei Waldkauz (Strix aluco) und Schleiereule (Tyto alba) in der Schweiz,Ornithologische Beobachter,54,2,50--56,1957,http://dx.doi.org/10.1111/j.1439-0310.1952.tb01648.x,,,,,,Schifferli_1957
0032-8332,Journal Article,Smith_1982,,"Smith, D. G.",A comparison of the demographic structure and growth of free-ranging and captive groups of Rhesus Monkeys (Macaca mulatta),Primates,23,1,24--30,1982,http://dx.doi.org/10.1007/bf02381435,,,,,,Smith_1982
,Journal Article,Stolen_SP11,,"Stolen, M. K.; Barlow, J.","A MODEL LIFE TABLE FOR BOTTLENOSE DOLPHINS (TURSIOPS TRUNCATUS) FROM THE INDIAN RIVER LAGOON SYSTEM, FLORIDA, U.S.A.",MARINE MAMMAL SCIENCE,19,4,630--649,2003,http://dx.doi.org/10.1111/j.1748-7692.2003.tb01121.x,,,,,,Stolen_SP11
0034-5466,Journal Article,AReptile-Vial-1977,,"Vial, J. L.; Berger, T. L.; McWilliams, W. T., Jr.","Quantitative demography of Copperheads, Agkistrodon contortrix (Serpentes: Viperadae)",Researches on Population Ecology (Tokyo),18,2,223--234,1977,http://dx.doi.org/10.1007/bf02510849,,,,,,Vial_1977
,Book Section,Woolfenden_1984,,"Woolfenden, G. E.; Fitzpatrick, J. W.",The Florida Scrub Jay: demography of a cooperative-breeding bird,,,,"62--67, 251--304, 379--396",1984,http://dx.doi.org/10.2307/4442,The Florida Scrub Jay: demography of a cooperative-breeding bird,"4.4 Age at First Breeding, 9. Survivorship and the Life Table, References",,Princeton Univ. Press,"Princeton, NJ",Woolfenden_1984
